Canonical_SMILES,starter_mod,firstExtension_module,secondExtension_mod,release_mod,Molecular_Weight
CCC=C(O)[C@H]1OC(=O)[C@H]1C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=0)",156.18
CCC=C(O)[C@@H]1OC(=O)[C@@H]1CCCCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=0)",226.32
CCC=C1C[C@H](CCCC)C(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=0)",182.26
CCC=C(O)[C@@H]1OC(=O)[C@@H]1CC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=0)",170.21
CCC=C1C=C(O)C(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",140.14
CC=C(O)[C@@H]1OC(=O)[C@H]1C,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=0)",142.15
CC=C(O)C(=O)[C@H]1OC1=O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=0)",142.11
CC=C1OC(=O)CC1=O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: False']","TE(cyclic, ring=0)",126.11
CC=C1C[C@H](CC)C(=O)O1,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=0)",140.18
CC=C(O)[C@@H]1OC(=O)[C@@H]1C(C)C,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=0)",170.21
CC=C(O)[C@@H]1OC(=O)[C@@H]1OC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",158.15
C=CC[C@@H]1C(=O)O[C@@H]1C(O)=CC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=0)",168.19
CC=C1OC(=O)[C@H](C)C1=O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=0)",140.14
CC=C(O)[C@H]1OC(=O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=0)",318.2
CC=C(O)[C@H]1OC(=O)[C@H]1C(C)C,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=0)",170.21
CC=C(O)[C@@H]1OC(=O)[C@H]1OC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",158.15
C=CC[C@@H]1C(=O)O[C@H]1C(O)=CC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=0)",168.19
CC=C(O)[C@@H]1OC(=O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=0)",318.2
