starter_idx,starter_smiles,status,time_seconds,error
201,CO[C@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
202,C=CC[C@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
203,C=CCC1=CC(=CCO)OC1=O,scaffolded,0.0,
204,O=C1OC(=CCO)C=C1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
205,O=C1OC(=CCO)[C@@H](O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
206,CCCC[C@@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
207,CO[C@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
208,O=C1OC(=CCO)C[C@@H]1O,scaffolded,0.0,
209,CCCC[C@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
210,CC(C)[C@H]1CC(=CCO)OC1=O,scaffolded,0.0,
211,CCCCCC[C@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
212,C[C@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
213,C=CC[C@@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
214,O=C1OC(=CCO)[C@H](O)[C@@H]1O,scaffolded,0.0,
215,CCCC[C@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
216,O=C1OC(=CCO)C(=O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
217,CCCCCC[C@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
218,O=C1OC(=CCO)C(=O)C1O,scaffolded,0.0,
219,O=C1CCC(=CCO)O1,scaffolded,0.0,
220,C=CC[C@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
221,O=C1OC(=CCO)[C@H](O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
222,O=C1C=CC(=CCO)O1,scaffolded,0.0,
223,CC(C)C1=CC(=CCO)OC1=O,scaffolded,0.0,
224,O=C1OC(=CCO)[C@H](O)[C@H]1O,scaffolded,0.0,
225,C=CC[C@H]1CC(=CCO)OC1=O,scaffolded,0.0,
226,CC[C@@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
227,CC1=CC(=CCO)OC1=O,scaffolded,0.0,
228,CC(C)[C@@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
229,O=C1OC(=CCO)[C@@H](O)[C@@H]1O,scaffolded,0.0,
230,CCC1=CC(=CCO)OC1=O,scaffolded,0.0,
231,CCCCC1=CC(=CCO)OC1=O,scaffolded,0.0,
232,C[C@@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
233,CCCCCC[C@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
234,CCCC[C@H]1CC(=CCO)OC1=O,scaffolded,0.0,
235,CC[C@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
236,O=C1OC(=CCO)C=C1O,scaffolded,0.0,
237,C=CCCC=C1OC(=O)[C@@H](C)[C@H]1O,scaffolded,0.0,
238,C=CCCC=C1OC(=O)[C@H](O)C1=O,scaffolded,0.0,
239,C=CCCC=C1OC(=O)CC1=O,scaffolded,0.0,
240,C=CCCC=C1C[C@H](CC)C(=O)O1,scaffolded,0.0,
241,C=CCCC=C1OC(=O)[C@H](C(C)C)[C@H]1O,scaffolded,0.0,
242,C=CCCC=C1OC(=O)[C@H](OC)[C@H]1O,scaffolded,0.0,
243,C=CCCC=C1OC(=O)[C@@H](CC=C)[C@@H]1O,scaffolded,0.0,
244,C=CCCC=C1OC(=O)[C@H](C)C1=O,scaffolded,0.0,
245,C=CCCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,scaffolded,0.0,
246,C=CCCC=C1OC(=O)[C@@H](C(C)C)[C@@H]1O,scaffolded,0.0,
247,C=CCCC=C1OC(=O)[C@@H](OC)[C@H]1O,scaffolded,0.0,
248,C=CCCC=C1OC(=O)[C@@H](CC=C)[C@H]1O,scaffolded,0.0,
249,C=CCCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,scaffolded,0.0,
250,C=CCCC=C1OC(=O)[C@@H](C(C)C)C1=O,scaffolded,0.0,
251,C=CCCC=C1OC(=O)C[C@@H]1O,scaffolded,0.0,
252,C=CCCC=C1OC(=O)[C@@H](OC)C1=O,scaffolded,0.0,
253,C=CCCC=C1OC(=O)[C@H](CC)C1=O,scaffolded,0.0,
254,C=CCCC=C1OC(=O)C(CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
255,C=CCCC=C1OC(=O)[C@@H](CCCC)C1=O,scaffolded,0.0,
256,C=CCCC=C1OC(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
257,C=CCCC=C1C[C@H](CCCCCC)C(=O)O1,scaffolded,0.0,
258,C=CCCC=C1OC(=O)[C@@H](O)C1=O,scaffolded,0.0,
259,C=CCCC=C1OC(=O)[C@H](CCCC)[C@H]1O,scaffolded,0.0,
260,C=CCCC=C1OC(=O)[C@H](C(C)C)C1=O,scaffolded,0.0,
261,C=CCCC=C1C[C@H](OC)C(=O)O1,scaffolded,0.0,
262,C=CCCC=C1C[C@H](CCCCc2c[nH]c(Cl)c2Cl)C(=O)O1,scaffolded,0.0,
263,C=CCCC=C1OC(=O)[C@@H](CCCCCC)[C@@H]1O,scaffolded,0.0,
264,C=CCCC=C1OC(=O)[C@@H](CC)[C@@H]1O,scaffolded,0.0,
265,C=CCCC=C1C[C@H](C)C(=O)O1,scaffolded,0.0,
266,C=CCCC=C1OC(=O)[C@@H](CCCC)[C@H]1O,scaffolded,0.0,
267,C=CCCC=C1OC(=O)[C@H](O)[C@@H]1O,scaffolded,0.0,
268,C=CCCC=C1OC(=O)[C@H](C(C)C)[C@@H]1O,scaffolded,0.0,
269,C=CCCC=C1C=C(OC)C(=O)O1,scaffolded,0.0,
270,C=CCCC=C1OC(=O)C[C@H]1O,scaffolded,0.0,
271,C=CCCC=C1OC(=O)[C@@H](CCCCCC)[C@H]1O,scaffolded,0.0,
272,C=CCCC=C1OC(=O)[C@@H](C)C1=O,scaffolded,0.0,
273,C=CCCC=C1OC(=O)[C@@H](OC)[C@@H]1O,scaffolded,0.0,
