
=== ADMET profile prediction ===
inputFile: BacillusAnthracis_generatedCompounds_wART.csv
SMILES column: Canonical_SMILES
outputCsv: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET.csv
checkpoint: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET_checkpoint.csv

Applying diversity filter...
diversity: processed 379000/642240 | +457 new | total 211770
diversity: processed 380000/642240 | +460 new | total 212230
diversity: processed 381000/642240 | +437 new | total 212667
diversity: processed 382000/642240 | +432 new | total 213099
diversity: processed 383000/642240 | +450 new | total 213549
diversity: processed 384000/642240 | +465 new | total 214014
diversity: processed 385000/642240 | +473 new | total 214487
diversity: processed 386000/642240 | +436 new | total 214923
diversity: processed 387000/642240 | +460 new | total 215383
diversity: processed 388000/642240 | +479 new | total 215862
diversity: processed 389000/642240 | +440 new | total 216302
diversity: processed 390000/642240 | +443 new | total 216745
diversity: processed 391000/642240 | +461 new | total 217206
diversity: processed 392000/642240 | +456 new | total 217662
diversity: processed 393000/642240 | +453 new | total 218115
diversity: processed 394000/642240 | +460 new | total 218575
diversity: processed 395000/642240 | +441 new | total 219016
diversity: processed 396000/642240 | +464 new | total 219480
diversity: processed 397000/642240 | +449 new | total 219929
diversity: processed 398000/642240 | +460 new | total 220389
diversity: processed 399000/642240 | +454 new | total 220843
diversity: processed 400000/642240 | +444 new | total 221287
diversity: processed 401000/642240 | +445 new | total 221732
diversity: processed 402000/642240 | +457 new | total 222189
diversity: processed 403000/642240 | +434 new | total 222623
diversity: processed 404000/642240 | +485 new | total 223108
diversity: processed 405000/642240 | +454 new | total 223562
diversity: processed 406000/642240 | +480 new | total 224042
diversity: processed 407000/642240 | +458 new | total 224500
diversity: processed 408000/642240 | +451 new | total 224951
diversity: processed 409000/642240 | +451 new | total 225402
diversity: processed 410000/642240 | +447 new | total 225849
diversity: processed 411000/642240 | +434 new | total 226283
diversity: processed 412000/642240 | +439 new | total 226722
diversity: processed 413000/642240 | +463 new | total 227185
diversity: processed 414000/642240 | +441 new | total 227626
diversity: processed 415000/642240 | +420 new | total 228046
diversity: processed 416000/642240 | +431 new | total 228477
diversity: processed 417000/642240 | +457 new | total 228934
diversity: processed 418000/642240 | +442 new | total 229376
diversity: processed 419000/642240 | +467 new | total 229843
diversity: processed 420000/642240 | +453 new | total 230296
diversity: processed 421000/642240 | +454 new | total 230750
diversity: processed 422000/642240 | +429 new | total 231179
diversity: processed 423000/642240 | +423 new | total 231602
diversity: processed 424000/642240 | +443 new | total 232045
diversity: processed 425000/642240 | +452 new | total 232497
diversity: processed 426000/642240 | +457 new | total 232954
diversity: processed 427000/642240 | +455 new | total 233409
diversity: processed 428000/642240 | +451 new | total 233860
diversity: processed 429000/642240 | +438 new | total 234298
diversity: processed 430000/642240 | +446 new | total 234744
diversity: processed 431000/642240 | +446 new | total 235190
diversity: processed 432000/642240 | +479 new | total 235669
diversity: processed 433000/642240 | +440 new | total 236109
diversity: processed 434000/642240 | +432 new | total 236541
diversity: processed 435000/642240 | +467 new | total 237008
diversity: processed 436000/642240 | +461 new | total 237469
diversity: processed 437000/642240 | +436 new | total 237905
diversity: processed 438000/642240 | +427 new | total 238332
diversity: processed 439000/642240 | +414 new | total 238746
diversity: processed 440000/642240 | +451 new | total 239197
diversity: processed 441000/642240 | +447 new | total 239644
diversity: processed 442000/642240 | +489 new | total 240133
diversity: processed 443000/642240 | +464 new | total 240597
diversity: processed 444000/642240 | +442 new | total 241039
diversity: processed 445000/642240 | +435 new | total 241474
diversity: processed 446000/642240 | +429 new | total 241903
diversity: processed 447000/642240 | +468 new | total 242371
diversity: processed 448000/642240 | +452 new | total 242823
diversity: processed 449000/642240 | +433 new | total 243256
diversity: processed 450000/642240 | +466 new | total 243722
diversity: processed 451000/642240 | +458 new | total 244180
diversity: processed 452000/642240 | +431 new | total 244611
diversity: processed 453000/642240 | +440 new | total 245051
diversity: processed 454000/642240 | +455 new | total 245506
diversity: processed 455000/642240 | +465 new | total 245971
diversity: processed 456000/642240 | +431 new | total 246402
diversity: processed 457000/642240 | +435 new | total 246837
diversity: processed 458000/642240 | +468 new | total 247305
diversity: processed 459000/642240 | +438 new | total 247743
diversity: processed 460000/642240 | +458 new | total 248201
diversity: processed 461000/642240 | +454 new | total 248655
diversity: processed 462000/642240 | +472 new | total 249127
diversity: processed 463000/642240 | +446 new | total 249573
diversity: processed 464000/642240 | +434 new | total 250007
diversity: processed 465000/642240 | +422 new | total 250429
diversity: processed 466000/642240 | +438 new | total 250867
diversity: processed 467000/642240 | +444 new | total 251311
diversity: processed 468000/642240 | +429 new | total 251740
diversity: processed 469000/642240 | +470 new | total 252210
diversity: processed 470000/642240 | +418 new | total 252628
diversity: processed 471000/642240 | +423 new | total 253051
diversity: processed 472000/642240 | +461 new | total 253512
diversity: processed 473000/642240 | +459 new | total 253971
diversity: processed 474000/642240 | +421 new | total 254392
diversity: processed 475000/642240 | +412 new | total 254804
diversity: processed 476000/642240 | +459 new | total 255263
diversity: processed 477000/642240 | +452 new | total 255715
diversity: processed 478000/642240 | +458 new | total 256173
diversity: processed 479000/642240 | +447 new | total 256620
diversity: processed 480000/642240 | +455 new | total 257075
diversity: processed 481000/642240 | +443 new | total 257518
diversity: processed 482000/642240 | +433 new | total 257951
diversity: processed 483000/642240 | +438 new | total 258389
diversity: processed 484000/642240 | +479 new | total 258868
diversity: processed 485000/642240 | +444 new | total 259312
diversity: processed 486000/642240 | +433 new | total 259745
diversity: processed 487000/642240 | +438 new | total 260183
diversity: processed 488000/642240 | +401 new | total 260584
diversity: processed 489000/642240 | +432 new | total 261016
diversity: processed 490000/642240 | +437 new | total 261453
diversity: processed 491000/642240 | +438 new | total 261891
diversity: processed 492000/642240 | +439 new | total 262330
diversity: processed 493000/642240 | +448 new | total 262778
diversity: processed 494000/642240 | +442 new | total 263220
diversity: processed 495000/642240 | +400 new | total 263620
diversity: processed 496000/642240 | +436 new | total 264056
diversity: processed 497000/642240 | +438 new | total 264494
diversity: processed 498000/642240 | +446 new | total 264940
diversity: processed 499000/642240 | +445 new | total 265385
diversity: processed 500000/642240 | +465 new | total 265850
diversity: processed 501000/642240 | +434 new | total 266284
diversity: processed 502000/642240 | +447 new | total 266731
diversity: processed 503000/642240 | +469 new | total 267200
diversity: processed 504000/642240 | +414 new | total 267614
diversity: processed 505000/642240 | +455 new | total 268069
diversity: processed 506000/642240 | +443 new | total 268512
diversity: processed 507000/642240 | +456 new | total 268968
diversity: processed 508000/642240 | +443 new | total 269411
diversity: processed 509000/642240 | +433 new | total 269844
diversity: processed 510000/642240 | +432 new | total 270276
diversity: processed 511000/642240 | +451 new | total 270727
diversity: processed 512000/642240 | +437 new | total 271164
diversity: processed 513000/642240 | +421 new | total 271585
diversity: processed 514000/642240 | +451 new | total 272036
diversity: processed 515000/642240 | +442 new | total 272478
diversity: processed 516000/642240 | +470 new | total 272948
diversity: processed 517000/642240 | +442 new | total 273390
diversity: processed 518000/642240 | +433 new | total 273823
diversity: processed 519000/642240 | +453 new | total 274276
diversity: processed 520000/642240 | +442 new | total 274718
diversity: processed 521000/642240 | +443 new | total 275161
diversity: processed 522000/642240 | +464 new | total 275625
diversity: processed 523000/642240 | +430 new | total 276055
diversity: processed 524000/642240 | +445 new | total 276500
diversity: processed 525000/642240 | +420 new | total 276920
diversity: processed 526000/642240 | +442 new | total 277362
