SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,True,C10H13N5O5,283.0917,20
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,False,C10H16N5O13P3,506.9957,31
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,False,C10H14N5O7P,347.0631,23
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,False,C27H33N9O15P2,785.1571,53
Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2,False,C27H35N9O15P2,787.1728,53
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,False,C10H15N5O10P2,427.0294,27
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,False,C21H29N7O17P3+,744.0827,48
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,False,C21H30N7O17P3,745.0911,48
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O,False,C10H15N5O13P2S,506.9862,31
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,False,C10H15N5O10P2,427.0294,27
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,False,C15H23N6O5S+,399.1445,27
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,False,C14H20N6O5S,384.1216,26
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C15H24N2O17P2,566.055,36
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C9H14N2O12P2,404.0022,25
*c1c(*)c(O)c(*)c(*)c1O,False,C6H2*4O2,106.0055,8
*C1=C(*)C(=O)C(*)=C(*)C1=O,False,C6*4O2,103.9898,8
CC(C)=CCOP(=O)(O)OP(=O)(O)O,False,C5H12O7P2,246.0058,14
O=P(O)(O)OP(=O)(O)O,False,H4O7P2,177.9432,9
*C(=O)CC[C@H](NC(=O)c1ccc(N(C=O)C[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,C20H22*N7O6,456.1632,33
*C(=O)CC[C@H](NC(=O)c1ccc(NC[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,C19H22*N7O5,428.1682,31
[O]C1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,False,C6H7O6,175.0243,12
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,False,C6H8O6,176.0321,12
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21,False,C19H21*N3O11P,498.0914,34
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O,False,C19H23*N3O11P,500.107,34
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,False,C23H38N7O17P3S,809.1258,51
C#[O+],False,CHO+,29.0022,2
O=C=O,False,CO2,43.9898,3
O=C(O)O,False,CH2O3,62.0004,4
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,False,C21H36N7O16P3S,767.1152,48
[H+],False,H+,1.0073,0
OO,False,H2O2,34.0055,2
Br,False,HBr,79.9262,1
C#N,False,CHN,27.0109,2
Cl,False,HCl,35.9767,1
F,False,HF,20.0062,1
I,False,HI,127.9123,1
N,False,H3N,17.0265,1
O=O,False,O2,31.9898,2
O=P(O)(O)O,False,H3O4P,97.9769,5
O=S(=O)(O)O,False,H2O4S,97.9674,5
O=S(O)O,False,H2O3S,81.9725,4
O,False,H2O,18.0106,1
Nc1nc2c(ncn2[C@@]2(CO)OC[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H13N5O5,283.0917,20
OC[C@H]1O[C@@H](n2cnc3c4nc(nc32)[nH]4)[C@H](O)[C@@H]1O,False,C10H11N5O4,265.0811,19
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H14N5O8P,363.058,24
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,False,C10H14N5O8P,363.058,24
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1,False,C10H14N5O8P,363.058,24
Nc1nc2c(ncn2[C@@H]2O[C@H](C=O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H11N5O5,281.076,20
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OS(=O)(=O)O)[C@H]2O)c(=O)[nH]1,False,C10H13N5O8S,363.0485,24
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OS(=O)(=O)O)c(=O)[nH]1,False,C10H13N5O8S,363.0485,24
Nc1nc2c(ncn2[C@@H]2O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H13N5O8S,363.0485,24
COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,C11H15N5O5,297.1073,21
CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C11H15N5O5,297.1073,21
CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C11H15N5O5,297.1073,21
C[n+]1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,False,C11H16N5O5+,298.1146,21
CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C12H15N5O6,325.1022,23
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,C12H15N5O6,325.1022,23
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C12H15N5O6,325.1022,23
CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C12H15N5O6,325.1022,23
C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,C10H13N5O4,267.0968,19
Nc1nc2c(ncn2[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2OC(CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H13N5O5,283.0917,20
OC[C@]1(n2cnc3c4nc(nc32)[nH]4)OC[C@@H](O)[C@H]1O,False,C10H11N5O4,265.0811,19
Nc1nc2c(ncn2[C@@]2(COP(=O)(O)O)OC[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H14N5O8P,363.058,24
Nc1nc2c(ncn2[C@@]2(CO)OC[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1,False,C10H14N5O8P,363.058,24
Nc1nc2c(ncn2[C@@]2(CO)OC[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,False,C10H14N5O8P,363.058,24
