PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
75704,92145599,16294349,CN1C(=O)C2=CC=CC=C2C(=N1)CC(=O)N3CCCCCC3C4=CC=C(C=C4)OC,Inactive,4,,,197.8,2.55318e+07,197.5,2.5436e+07,3.09,4.82,3.96,95.67,95.7
75705,92145600,8933285,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)OC(F)(F)F)N3C=NN=N3,Inactive,5,,,195.8,2.6567e+07,197.5,2.63815e+07,4.39,4.82,4.61,99.55,99.26
75706,92145601,16294336,C1CN(CCN(C1)S(=O)(=O)C2=CC=C(C=C2)F)C(=O)/C=C/C3=CC4=C(C(=C3)Cl)OCCO4,Inactive,4,,,197.6,2.61372e+07,196.6,2.60413e+07,3.22,5.42,4.32,97.94,97.98
75707,92145602,9109372,CC1=CC=C(C=C1)C(=O)NC2=CC(=NN2C)C(C)(C)C,Inactive,1,,,201.7,2.64079e+07,202.3,2.62028e+07,0.54,1.65,1.1,98.95,98.59
75708,92145603,9156171,CCOC1=CC=C(C=C1)CN(C)CC2=NC(=NC(=N2)NC3=CC=C(C=C3)C)N,Inactive,3,,,198.9,2.66662e+07,198.2,2.65858e+07,2.37,4.36,3.37,99.92,100.03
75709,92145604,9110071,C1=CC=C2C(=C1)C(=NNC2=O)CC(=O)OCC3=CC=C(C=C3)F,Inactive,3,,,199.1,2.66759e+07,198.1,2.65343e+07,2.24,4.43,3.34,99.96,99.83
75710,92145605,4789348,CCN(CC1=CC=CC=C1)C(=O)CC2=CNC3=CC=CC=C32,Inactive,2,,,203.9,2.71913e+07,198.5,2.70413e+07,-0.89,4.16,1.64,101.89,101.74
75711,92145606,16282468,C1CN(CCC1C(=O)OCN2C(=O)C3=CC=CC=C3C2=O)S(=O)(=O)C4=CC5=C(C=C4)OCCO5,Inactive,3,,,197.5,2.57575e+07,199.2,2.56762e+07,3.28,3.7,3.49,96.52,96.61
75712,92145607,9206065,CN(CC1=CC=C(O1)C2=CC=C(C=C2)Br)C(=O)CC3=CSC=C3,Inactive,2,,,200.9,2.71838e+07,200.7,2.69985e+07,1.06,2.71,1.89,101.86,101.58
75713,92145608,16282857,CCOC1=CC2=C(C=C1)N=C(N2)SCC3=CC(=O)OC4=C3C=CC(=C4)O,Inactive,3,,,199.4,2.63063e+07,197.3,2.61983e+07,2.04,4.95,3.5,98.57,98.57
75714,92145609,16294534,CC1=C(OC2=C1C=C(C=C2)F)C(=O)N(CC3CCCO3)C4CCS(=O)(=O)C4,Inactive,4,,,197.1,2.72613e+07,197.9,2.70367e+07,3.54,4.56,4.05,102.15,101.72
75715,92145610,16288740,CCOC(=O)C1=C(SC2=C1CCCC2)NC(=O)C(C)OC(=O)C3=CC=C(C=C3)N4C=NN=N4,Inactive,2,,,197.8,2.66403e+07,202.5,2.64953e+07,3.09,1.52,2.31,99.82,99.69
75716,92145611,9206900,CCC(=O)N(C1CC1)C2=NN=C(S2)SCC(=O)C3=CC=CN3,Inactive,3,,,199,2.62493e+07,199.5,2.62538e+07,2.3,3.5,2.9,98.36,98.78
75717,92145612,3949218,C1=CC=C2C(=C1)C(=O)N(C2=O)COC(=O)CC3=CSC=C3,Inactive,3,,,199.4,2.66721e+07,198.7,2.64072e+07,2.04,4.03,3.04,99.94,99.36
75718,92145613,16293537,CC1=CC(=C(C=C1)C)NC(=O)C(C2=CC=CC=C2)SC3=NN=NN3CC4=CC=CS4,Inactive,3,,,199.9,2.74905e+07,199.2,2.73015e+07,1.72,3.7,2.71,103.01,102.72
75719,92145614,54711070,CC(C)CN1C2=CC=CC=C2N=C1SC/C(=C(\C#N)/C(=O)NCC3=CC=CC=C3)/O,Inactive,3,,,198.8,2.58449e+07,198.3,2.58738e+07,2.43,4.29,3.36,96.84,97.35
75720,92145615,8674602,C1CC1NC2=NN=C(S2)SCC(=O)NC3=C(C=CS3)C#N,Inactive,2,,,198.6,2.68198e+07,202.8,2.67685e+07,2.56,1.32,1.94,100.5,100.72
75721,92145616,16288192,C1CCN(C1)C(=O)CSC2=CC=CC=C2C(=O)OCC(=O)NC3=CC4=C(C=C3)OCO4,Inactive,4,,,197.6,2.65702e+07,198.7,2.65724e+07,3.22,4.03,3.63,99.56,99.98
75722,92145617,4880539,CN(C)C(CNC(=O)C1=CC=C(C=C1)C2=CC=CC=C2)C3=CC=CO3,Inactive,0,,,205.2,2.70985e+07,205.5,2.71717e+07,-1.74,-0.46,-1.1,101.54,102.23
75723,92145618,16283202,CC1=CN2C(=NC(=CC2=O)COC(=O)/C=C/C3=CC(=C(C=C3)OC)S(=O)(=O)N4CCOCC4)C=C1,Inactive,1,,,202.5,2.63896e+07,202.6,2.61615e+07,0.02,1.46,0.74,98.88,98.43
75724,92145619,4804029,CC(C)CN1C2=C(C(=CC(=N2)C3=CC=CO3)C(=O)OC)C(=O)N(C1=O)C,Inactive,0,,,202.2,2.66594e+07,205.1,2.67343e+07,0.22,-0.19,0.02,99.9,100.59
75725,92145620,7681661,CCN1C(=NN=C1SCC(=O)C2=CC3=C(C=C2)OCO3)CC4=CC=CC=C4,Inactive,0,,,204,2.65162e+07,205,2.65258e+07,-0.96,-0.13,-0.55,99.36,99.8
