SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
CCCCCC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C14H23N4O4+,311.1714,22
CCC[C@]1(CO)C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C11H18N3O4+,256.1292,18
CC[C@]1(CCO)C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C11H18N3O4+,256.1292,18
COCCCC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C12H20N3O4+,270.1448,19
CC(=O)OCCCC[C@H]1C(=O)OC(=CCNC(N)=[NH2+])C1=O,False,C13H20N3O5+,298.1397,21
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCCCCl)C1=O,False,C11H17ClN3O3+,274.0953,18
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCCC(O)O)C1=O,False,C11H18N3O5+,272.1241,19
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCC(O)CO)C1=O,False,C11H18N3O5+,272.1241,19
NC(=[NH2+])NCC=C1OC(=O)[C@H](CC(O)CCO)C1=O,False,C11H18N3O5+,272.1241,19
NC(=[NH2+])NCC=C1OC(=O)[C@H](C(O)CCCO)C1=O,False,C11H18N3O5+,272.1241,19
NC(=[NH2+])NCC(O)=C1OC(=O)[C@H](CCCCO)C1=O,False,C11H18N3O5+,272.1241,19
NC(=[NH2+])NC(O)C=C1OC(=O)[C@H](CCCCO)C1=O,False,C11H18N3O5+,272.1241,19
NC(=[NH2+])NCC1OC12OC(=O)[C@H](CCCCO)C2=O,False,C11H18N3O5+,272.1241,19
NC(=[NH2+])NCCC1(O)OC(=O)[C@H](CCCCO)C1=O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C(O)C(=O)[C@@H](CCCCO)C(=O)O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(O)[C@H](CCCC(O)O)C1=O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCCC(O)O)C1O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(O)[C@H](CCC(O)CO)C1=O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCC(O)CO)C1O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(O)[C@H](CC(O)CCO)C1=O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(=O)[C@H](CC(O)CCO)C1O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(O)[C@H](C(O)CCCO)C1=O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC=C1OC(=O)[C@H](C(O)CCCO)C1O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC(O)=C1OC(O)[C@H](CCCCO)C1=O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NCC(O)=C1OC(=O)[C@H](CCCCO)C1O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NC(O)C=C1OC(O)[C@H](CCCCO)C1=O,False,C11H20N3O5+,274.1397,19
NC(=[NH2+])NC(O)C=C1OC(=O)[C@H](CCCCO)C1O,False,C11H20N3O5+,274.1397,19
NC(=O)NCC=C1OC(=O)[C@H](CCCCO)C1=O,False,C11H16N2O5,256.1059,18
O=CC=C1OC(=O)[C@H](CCCCO)C1=O,False,C10H12O5,212.0685,15
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCCCOC(N)=[NH2+])C1=O,False,C12H21N5O4+2,299.1583,21
NCC=C1OC(=O)[C@H](CCCCO)C1=O,False,C10H15NO4,213.1001,15
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCCC(O)CO)C1=O,False,C12H20N3O5+,286.1397,20
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCCC(O)CCO)C1=O,False,C13H22N3O5+,300.1554,21
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCCC(O)CCCO)C1=O,False,C14H24N3O5+,314.171,22
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCC(CO)CO)C1=O,False,C12H20N3O5+,286.1397,20
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCC(CO)CCO)C1=O,False,C13H22N3O5+,300.1554,21
NC(=[NH2+])NCC=C1OC(=O)[C@H](CCC(CO)CCCO)C1=O,False,C14H24N3O5+,314.171,22
NC(=[NH2+])NCC=C1OC(=O)[C@H](CC(CO)CCO)C1=O,False,C12H20N3O5+,286.1397,20
NC(=[NH2+])NCC=C1OC(=O)[C@H](CC(CCO)CCO)C1=O,False,C13H22N3O5+,300.1554,21
NC(=[NH2+])NCC=C1OC(=O)[C@H](CC(CCO)CCCO)C1=O,False,C14H24N3O5+,314.171,22
NC(=[NH2+])NCC=C1OC(=O)[C@H](C(CO)CCCO)C1=O,False,C12H20N3O5+,286.1397,20
NC(=[NH2+])NCC=C1OC(=O)[C@H](C(CCO)CCCO)C1=O,False,C13H22N3O5+,300.1554,21
NC(=[NH2+])NCC=C1OC(=O)[C@H](C(CCCO)CCCO)C1=O,False,C14H24N3O5+,314.171,22
NC(=[NH2+])NCC=C1OC(=O)[C@@](CO)(CCCCO)C1=O,False,C12H20N3O5+,286.1397,20
NC(=[NH2+])NCC=C1OC(=O)[C@@](CCO)(CCCCO)C1=O,False,C13H22N3O5+,300.1554,21
