starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)OC[C@]1(C)O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O,InosineOnly_gen3,5.291301973374065,0.4773355680400541,4.355724260015559,6.226879686732571,5.113261769012522e-06,5.93089606348009e-07,4.408346671161124e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Cc1nc2c(=O)[nH]cnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(C)O,InosineOnly_gen3,5.291262330362827,0.4753608111932024,4.35955514042415,6.222969520301503,5.113728536042968e-06,5.984535943161457e-07,4.369631962896318e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CO[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C,XanthosineOnly_gen3,5.291239455104794,0.4742683782897341,4.3616734336569145,6.220805476552673,5.113997894612883e-06,6.014430675951882e-07,4.3483707561341e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)OC[C@]1(O)CO[C@@H]2[C@@H]1Oc1nc3c(=O)[nH]cnc3n12,InosineOnly_gen3,5.291239436158751,0.4773536362701586,4.35562630906924,6.226852563248261,5.113998117710413e-06,5.931266484004678e-07,4.409341043514816e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(CC)nc21,AdenosineOnly_gen3,5.291228377802996,0.4749014600923318,4.360421516022026,6.222035239583967,5.114128336105691e-06,5.997424098980669e-07,4.3609236576423526e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)O[C@@H]1CO,GuanosineOnly_gen3,5.291207558603387,0.4751399697886843,4.359933217817566,6.222481899389208,5.114373502957134e-06,5.991259085783951e-07,4.3658296116445486e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(O)Nc1nc2c(ncn2[C@@]2(C)O[C@]3(CO)O[C@@H]2[C@@H]3O)c(=O)[nH]1,GuanosineOnly_gen3,5.291174664740164,0.4760745194728634,4.358068606573352,6.224280722906976,5.114760884977056e-06,5.966494946107793e-07,4.384614274676811e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2O[C@]21O,AdenosineOnly_gen3,5.291155266680001,0.4766022916298568,4.3570147750854815,6.22529575827452,5.114989344373435e-06,5.952566305846959e-07,4.395266620945464e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC[C@]1(n2cnc3c(N)ncnc32)O[C@H](COC(C)=O)[C@@H](O)[C@H]1O,AdenosineOnly_gen3,5.291148878239295,0.4738220938676521,4.362457574258697,6.219840182219894,5.115064586053527e-06,6.027813652138115e-07,4.3405266369205686e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@]1(O)CO[C@](CO)(n2cnc3c(NC=O)ncnc32)[C@@H]1O,AdenosineOnly_gen3,5.291147391967451,0.479016189267886,4.352275661002395,6.230019122932507,5.115082091202225e-06,5.888177278569879e-07,4.4434913491756246e-05
